backend,n,K,m,termination,samples,mean_s,median_s,min_s,max_s,std_s,cv_pct,cost_samples,mean_cost,std_cost
cuda,500,8,256,stagnation,3,3.090000,2.680000,2.430000,4.160000,0.935040,30.260198,3,2094.202333,72.565077
cuda,1000,8,256,stagnation,3,2.966667,2.460000,2.340000,4.100000,0.983328,33.145877,3,3666.258333,85.941836
cuda,2000,8,256,stagnation,3,4.003333,4.170000,3.360000,4.480000,0.578302,14.445515,3,5277.100333,16.680910
cuda,4000,8,256,stagnation,3,12.393333,8.540000,7.280000,21.360000,7.790875,62.863435,3,8161.564000,54.494002
cuda,8000,8,256,stagnation,3,32.530000,39.750000,16.840000,41.000000,13.602305,41.814648,3,11900.092333,138.467432
cuda,16000,16,256,stagnation,3,56.910000,61.810000,40.850000,68.070000,14.256213,25.050453,3,17484.905667,75.629233
cuda,32000,32,256,stagnation,3,189.943333,168.970000,159.230000,241.630000,45.026109,23.705022,3,24138.664667,149.027086
cuda,64000,63,256,time_limit,3,302.323333,302.490000,301.850000,302.630000,0.415853,0.137552,3,29941.209667,132.839170
seq,500,8,32,stagnation,3,30.960000,25.980000,21.560000,45.340000,12.648020,40.852777,3,5188.948000,75.492027
seq,1000,8,32,stagnation,3,131.563333,133.550000,112.400000,148.740000,18.251275,13.872615,3,9018.179000,55.241000
seq,2000,8,32,time_limit,3,300.590000,300.630000,300.410000,300.730000,0.163707,0.054462,3,16017.709000,186.964555
seq,4000,8,16,time_limit,3,301.303333,301.510000,300.890000,301.510000,0.357957,0.118803,3,30656.808000,147.970188
seq,8000,8,16,time_limit,3,306.576667,306.480000,306.340000,306.910000,0.297041,0.096890,3,55671.766667,320.076880
seq,16000,16,8,time_limit,3,310.080000,310.000000,309.930000,310.310000,0.202237,0.065221,3,88425.163000,729.092198
seq,32000,32,4,time_limit,3,359.620000,367.420000,337.310000,374.130000,19.610153,5.453021,3,114017.590000,1101.244579
